1997, 441, -1997
1979, -868, -1997
821, -1998, -1328
-387, -1998, -155
-785, -1998, -61
-705, -1998, -1343
-632, -1998, -419
-535, -1998, 1386
-756, -1998, 1837
-943, -1998, 1998
-756, -1998, 1998
-162, -1998, 1998
460, -1923, 1998
763, -1748, 1500
878, -1947, 1198
894, -1998, 454
1183, -1837, -1817
967, -499, -1997
289, 353, -1997
-373, -421, -1441
-534, -1111, -970
-482, -1401, -1482
-421, -907, -1852
-361, -399, -1657
-450, -495, -891
-559, -751, -428
-549, -932, -416
-,-,-
-166, 841, -134
-90, 912, -299
134, 1090, -595
571, 1157, -1069
1190, 824, -1701
1823, 707, -1997
1997, 922, -1997
1997, 1061, -1997
1997, -73, -1926
1688, -1777, -1447
552, -1998, -1017
-110, -1998, -1096
-142, -1998, -1581
-425, -1998, -888
-819, -1998, -17
-945, -1998, 1118
-1062, -1998, 1978
-948, -1998, 1998
-717, -1998, 1998
-394, -1929, 1933
34, -1794, 1754
303, -1942, 1731
327, -1988, 691
456, -1517, -600
30, -770, 597
-385, -1397, 818
194, -1469, -981
670, -733, -1961
723, -302, -1912
564, -936, -1530
279, -1202, -1516
-19, -995, -1672
-198, -739, -1585
-394, -674, -1140
-645, -798, -989
-660, -729, -1192
-601, -601, -1167
-,-,-
153, 965, -667
720, 905, -1251
1356, 909, -1937
1919, 622, -1997
1919, 622, -1997
1997, 464, -1997
1929, 23, -1997
1793, -1281, -1997
322, -1998, -801
-216, -1998, -966
-537, -1998, -247
-883, -1998, 655
-1023, -1998, 1208
-1086, -1998, 1634
-1228, -1998, 1998
-1322, -1998, 1998
-989, -1965, 1998
-363, -1705, 1811
170, -1869, 1491
325, -1703, 1650
345, -1608, 1973
405, -1789, 1866
556, -1945, 984
543, -1948, -273
445, -1415, -1625
463, -851, -1997
296, -805, -1997
118, -931, -1997
74, -764, -1997
-84, -485, -1889
-214, -568, -1339
-362, -853, -903
-457, -996, -747
-442, -842, -748
-,-,-
-632, 191, -348
-297, 137, -512
427, 295, -936
1284, 940, -1785
1936, 1484, -1997
1997, 1036, -1997
1997, 258, -1997
1990, -987, -1997
1180, -1995, -1592
-119, -1998, -47
-895, -1998, 872
-936, -1998, 969
-771, -1998, 1442
-923, -1998, 1998
-1056, -1998, 1998
-831, -1998, 1998
518, -1998, 1998
1276, -1912, 1885
1509, -1998, 217
1398, -1857, -1888
1251, -353, -1997
512, 965, -1850
-230, -41, -1413
-561, -1530, -1823
-581, -1998, -1975
-429, -1512, -1814
-283, -903, -1584
-376, -971, -1051
-,-,-
-209, 322, -195
483, 707, -799
1704, 1309, -1846
1997, 1968, -1997
1997, 1906, -1997
1997, 229, -1997
1997, -1731, -1997
1504, -1998, -1435
31, -1998, -701
-765, -1998, -582
-911, -1998, -753
-897, -1998, -71
-934, -1998, 1347
-866, -1998, 1998
-613, -1998, 1998
-245, -1998, 1998
163, -1998, 1998
432, -1998, 1998
718, -1998, 1652
962, -1982, 698
1120, -1304, -262
1089, -717, -1605
758, -610, -1997
232, -545, -1997
-58, -1078, -1997
-234, -1247, -1996
-242, -764, -1715
-312, -481, -1323
-407, -520, -1071
-495, -816, -832
-,-,-
-209, 540, -426
-77, 835, -473
166, 887, -550
593, 819, -758
1380, 917, -1296
1969, 1248, -1967
1997, 1582, -1997
1997, 743, -1997
1997, -1038, -1997
1550, -1994, -1996
55, -1998, -425
-936, -1998, 662
-985, -1998, 1044
-836, -1998, 1884
-874, -1998, 1998
-916, -1998, 1998
-712, -1998, 1998
-268, -1998, 1998
262, -1998, 1998
774, -1799, 1636
1020, -1032, 671
769, -1400, -379
439, -1372, -1730
199, -510, -1997
-202, 268, -1997
-571, -602, -1997
-395, -1833, -1997
-133, -1222, -1983
65, -182, -1997
0, -153, -1594
-309, -787, -669
-564, -997, -459
-625, -1146, -384
-,-,-
-405, 99, -222
-395, 313, -233
-314, 519, -242
-102, 687, -553
-102, 687, -553
462, 1024, -865
1402, 1541, -1259
1990, 1924, -1845
1997, 1992, -1997
1997, 1367, -1997
1925, -1551, -1997
945, -1998, -1921
-184, -1998, -503
-1130, -1998, 995
-1331, -1998, 1545
-1195, -1998, 1654
-1042, -1998, 1997
-856, -1998, 1998
-860, -1998, 1998
-719, -1998, 1998
-39, -1998, 1856
739, -1108, 1185
1011, 80, 547
598, -1118, -42
178, -1946, -1210
58, -1477, -1934
145, -830, -1997
10, -1078, -1997
-212, -1395, -1940
-267, -1212, -1506
-162, -527, -1330
-227, -409, -1081
-358, -590, -949
-492, -737, -697
-542, -771, -482
-,-,-
-249, 370, -235
-234, 520, -217
-122, 633, -205
247, 719, -445
247, 719, -445
1018, 712, -809
1769, 714, -1450
1997, 698, -1997
1997, -38, -1997
1997, -895, -1997
1880, -1579, -1733
159, -1998, 379
-1286, -1998, 674
-1710, -1998, 1157
-1998, -1998, 1998
-1705, -1998, 1998
-1040, -1998, 1998
-386, -1998, 1944
-134, -1894, 1963
-26, -1954, 1780
217, -1998, 1057
466, -1769, 413
838, -1624, -734
1157, -1704, -1986
728, -1117, -1997
47, -1008, -1997
-593, -1385, -1973
-844, -1574, -1522
-672, -1159, -1230
-451, -468, -1191
-391, -191, -1014
-,-,-
-136, 529, -204
-126, 407, -414
77, 559, -548
497, 932, -950
497, 932, -950
1013, 1124, -1661
1438, 758, -1992
1875, 452, -1997
1997, 781, -1997
1997, 497, -1997
1810, -820, -1950
1022, -1968, -1079
-832, -1998, -158
-1027, -1998, -504
-1288, -1998, 738
-1762, -1998, 1476
-1998, -1998, 1861
-1868, -1998, 1998
-1165, -1998, 1998
-446, -1998, 1690
131, -1908, 759
542, -1200, 479
524, -661, 752
251, -1002, 954
140, -1083, 269
86, -952, -976
-50, -989, -1766
-315, -1011, -1953
-390, -1417, -1787
-301, -1492, -1775
-152, -1228, -1852
-50, -790, -1629
-85, -590, -1356
-274, -693, -1152
-516, -880, -758
-,-,-
-229, 264, -29
-229, 264, -29
-182, 376, -88
-38, 609, -330
448, 1002, -854
1214, 1232, -1525
1913, 1429, -1992
1997, 1683, -1997
1997, 1422, -1997
1997, -33, -1989
1749, -1474, -1758
794, -1994, -1297
65, -1998, -878
-224, -1998, -1432
-544, -1998, -943
-976, -1998, 775
-1229, -1998, 1874
-1469, -1998, 1998
-1094, -1998, 1998
-829, -1998, 1937
-495, -1995, 1353
-46, -1915, 1003
234, -1857, 639
249, -1390, 325
172, -747, 147
172, -747, 260
346, -732, 260
393, -1001, 319
261, -1195, -409
244, -1183, -1186
219, -1083, -1589
17, -951, -1659
-150, -982, -1880
-301, -1067, -1777
-353, -1095, -1582
-382, -943, -1359
-547, -659, -902
-547, -659, -902
-,-,-
-190, 505, -232
-117, 565, -295
181, 709, -489
738, 826, -1061
