-,-,-
-469, 232, -1502
-582, 81, -1997
-1027, -393, -1997
-1713, -885, -1997
-1998, -1582, -1887
-1998, -1998, -727
-1998, -1998, 1518
-1985, -1998, 1998
-1236, -1991, 1998
-141, -1503, 1998
917, -1256, 1998
1662, -1478, 1877
1967, -1641, 1001
1998, -1333, 145
1998, -860, -289
1998, -260, -419
1998, -50, -763
1993, -130, -1555
1551, -472, -1997
556, -880, -1997
-976, -1650, -1997
-1998, -1998, -1994
-1998, -1665, -1233
-1998, -1317, -332
-1998, -1623, 675
-,-,-
-859, -160, 51
-801, -130, -42
-680, 6, -303
-524, 177, -1037
-482, 342, -1954
-977, 102, -1997
-1878, -960, -1997
-1998, -1929, -1598
-1998, -1998, 125
-1998, -1998, 1949
-1967, -1998, 1998
-909, -1998, 1998
331, -1930, 1998
1257, -1881, 1998
1949, -1842, 1944
1998, -1608, 1438
1998, -1126, 627
1998, -735, -287
1998, -672, -895
1994, -571, -1514
1804, -372, -1993
1203, -460, -1997
304, -881, -1997
-848, -1727, -1997
-1929, -1998, -1997
-1998, -1998, -1013
-1998, -1981, 739
-,-,-
-664, 31, -174
-542, 132, -496
-356, 256, -1276
-462, 365, -1991
-1053, -48, -1997
-1899, -1158, -1997
-1998, -1996, -1983
-1998, -1998, -649
-1998, -1998, 1732
-1998, -1998, 1998
-1575, -1682, 1998
-638, -1650, 1998
145, -1628, 1998
671, -1824, 1775
1156, -1802, 1228
1484, -1569, 807
1566, -1351, 575
1576, -971, 387
1440, -862, -13
1358, -965, -711
1297, -672, -1365
916, -345, -1912
189, -413, -1997
-544, -852, -1997
-1077, -855, -1997
-1556, -602, -1997
-1998, -710, -1311
-1998, -1336, -721
-1998, -1295, 376
-1998, -1397, 1000
-,-,-
-553, 100, -814
-553, 118, -1269
-889, 51, -1867
-1453, -448, -1997
-1984, -1502, -1997
-1998, -1998, -1997
-1998, -1998, -1265
-1998, -1998, 1998
-1325, -1667, 1998
-569, -1231, 1998
-7, -1189, 1998
302, -1474, 1925
308, -1570, 1382
259, -1616, 820
322, -1553, 524
447, -1443, 447
510, -1007, 344
510, -1007, 344
553, -766, 94
633, -791, -156
856, -726, -569
1096, -376, -845
1126, -238, -988
1034, -431, -1295
700, -604, -1892
198, -629, -1997
-623, -975, -1997
-1605, -1376, -1997
-1998, -1612, -1997
-1998, -1624, -1929
-1998, -1698, 738
-1998, -1972, 1258
-1784, -1604, 1577
-1287, -1184, 1998
-,-,-
-1998, -1512, 994
-1998, -1333, 1949
