1825, -1998, 131
622, -1998, -1557
-485, -1998, -1630
-634, -1998, -879
-,-,-
1745, 625, 1522
1997, 963, 1837
1997, 1676, 1998
1997, 1997, 1998
1997, 1997, 1862
1997, 1545, 1141
1997, -618, 1102
1997, -1991, 1052
1955, -1998, -210
880, -1998, -838
-265, -1998, -804
-459, -1998, -691
-745, -1998, -205
-758, -1974, 371
-,-,-
1942, 984, 1982
1997, 1830, 1970
1997, 1997, 1698
1997, 1779, 1143
1997, 23, 1759
1997, -1570, 1579
1997, -1998, 775
1479, -1998, -34
230, -1998, -946
-302, -1998, -1226
-803, -1998, -208
-1034, -1981, 116
-,-,-
1997, 1732, 1943
1997, 1997, 1953
1997, 1997, 1683
1997, 1556, 1425
1997, -120, 1218
1997, -1875, 802
1796, -1998, 459
485, -1998, -293
-120, -1998, -974
-340, -1998, -788
-,-,-
1974, 825, 1974
1997, 1594, 1978
1997, 1996, 1777
1997, 1997, 1255
1997, 1410, 963
1997, -631, 749
1997, -1998, 814
1564, -1998, 278
352, -1998, -512
-323, -1998, -252
-,-,-
1717, 1562, 1779
1997, 1997, 1984
1997, 1997, 1798
1997, 1997, 1544
1997, 1715, 1221
1997, -303, 1003
1997, -1903, 419
1842, -1998, 967
984, -1998, 500
434, -1998, -448
-,-,-
1997, 1970, 1906
1997, 1997, 1928
1997, 1997, 1995
1997, 1453, 1575
1997, -686, 1375
1997, -1998, 1168
1398, -1998, 1031
220, -1998, 144
-462, -1998, -475
-,-,-
872, 383, 1388
1396, 525, 1628
1985, 952, 1715
1997, 1373, 1946
1997, 1365, 1998
1997, 1181, 1954
1997, 153, 1891
1997, -1075, 1695
1996, -1813, 1103
1269, -1998, -1131
188, -1998, -1696
-205, -1998, -1466
-677, -1998, -84
-768, -1998, 310
-,-,-
1356, 630, 1842
1957, 1118, 1978
1997, 1628, 1998
1997, 1908, 1998
1997, 1779, 1976
1997, 1101, 1834
1997, -528, 1484
1997, -1867, 943
1570, -1998, 86
627, -1998, -784
-306, -1998, -482
-390, -1998, 170
-617, -1998, 819
-403, -1626, 816
-340, -1270, 900
-,-,-
1687, 776, 1959
1997, 891, 1953
1997, 1465, 1992
1997, 1815, 1985
1997, 1997, 1670
1997, 1606, 1114
1997, -280, 435
1997, -1976, -222
1188, -1998, -340
-97, -1998, -1290
-533, -1998, -808
-670, -1998, 306
-569, -1985, 495
-,-,-
1101, 691, 1376
